Day,Group,Folder,Cell_ID,Area,Aspect_Ratio,Length_um,Width_um,C1_Mean,C2_Mean,C3_PI_Mean,Ratio_C1_C2,Status
1,C,C1,C1_00102,3.363,2.543,3.300,1.298,123.910,355.839,2.709,0.348218,living
1,C,C1,C1_00103,2.772,1.801,2.521,1.400,125.189,495.793,2.372,0.252503,living
1,C,C1,C1_00104,1.301,1.552,1.603,1.033,82.870,311.987,2.442,0.265620,living
1,C,C1,C1_00105,2.231,3.268,3.047,0.932,50.811,294.311,2.280,0.172643,living
1,C,C1,C1_00106,3.296,2.280,3.093,1.357,98.897,437.708,2.836,0.225944,living
1,C,C1,C1_00107,1.842,1.804,2.057,1.140,57.312,396.972,2.211,0.144373,living
1,C,C1,C1_00108,1.791,2.981,2.607,0.875,47.151,299.425,2.651,0.157472,living
1,C,C1,C1_00109,3.194,2.229,3.011,1.351,83.085,423.767,2.291,0.196062,living
1,C,C1,C1_00110,1.572,2.349,2.168,0.923,17.000,310.237,2.957,0.054797,living
1,C,C1,C1_00111,2.332,2.054,2.470,1.202,37.167,414.899,2.565,0.089580,living
1,C,C1,C1_00112,1.572,2.293,2.142,0.934,26.720,314.215,2.462,0.085039,living
1,C,C1,C1_00113,1.656,2.013,2.060,1.023,20.133,360.459,2.459,0.055853,living
1,C,C1,C1_00114,2.670,1.962,2.583,1.316,42.506,462.329,2.424,0.091940,living
1,C,C1,C1_00115,3.042,2.580,3.161,1.225,2.567,356.072,2.433,0.007208,living
1,C,C1,C1_00116,3.025,1.803,2.635,1.462,24.397,463.078,2.419,0.052684,living
1,C,C1,C1_00117,1.606,2.202,2.122,0.964,27.705,351.158,2.463,0.078897,living
1,C,C1,C1_00118,3.177,2.081,2.901,1.394,2.984,290.330,2.351,0.010278,living
1,C,C1,C1_00119,2.282,2.444,2.665,1.090,17.859,392.207,2.378,0.045535,living
1,C,C1,C1_00120,1.960,2.982,2.728,0.915,15.828,344.371,2.819,0.045961,living
1,C,C1,C1_00121,2.248,2.380,2.610,1.097,23.466,381.030,2.391,0.061586,living
1,C,C1,C1_00122,2.163,2.533,2.641,1.043,20.484,350.320,2.508,0.058473,living
1,C,C1,C1_00123,2.298,1.688,2.222,1.317,21.985,450.574,2.728,0.048794,living
1,C,C1,C1_00124,1.791,2.503,2.389,0.954,17.953,352.189,2.358,0.050975,living
1,C,C1,C1_00125,1.893,2.873,2.631,0.916,14.045,344.714,2.732,0.040743,living
1,C,C1,C1_00126,2.822,2.280,2.862,1.255,20.168,466.940,2.569,0.043191,living
1,C,C1,C1_00127,1.132,2.052,1.720,0.838,13.597,334.388,2.149,0.040662,living
1,C,C1,C1_00128,2.129,1.466,1.993,1.360,8.413,320.873,2.175,0.026218,living
1,C,C1,C1_00129,1.960,1.121,1.673,1.492,2.319,325.733,2.836,0.007119,living
1,C,C1,C1_00130,1.791,2.666,2.466,0.925,2.302,311.868,2.311,0.007381,living
1,C,C1,C1_00131,1.622,2.202,2.133,0.968,2.427,321.146,2.729,0.007558,living
1,C,C1,C1_00132,2.045,2.498,2.550,1.021,14.198,376.810,1.967,0.037680,living
1,C,C1,C1_00133,2.062,3.469,3.018,0.870,54.131,312.352,2.385,0.173301,living
1,C,C1,C1_00134,1.791,2.373,2.326,0.980,38.764,331.151,2.170,0.117059,living
1,C,C1,C1_00135,1.808,1.848,2.063,1.116,96.822,375.822,2.477,0.257628,living
1,C,C1,C1_00136,1.741,1.857,2.029,1.093,31.359,394.175,2.233,0.079557,living
1,C,C1,C1_00137,1.741,2.715,2.453,0.904,48.621,333.660,2.534,0.145721,living
1,C,C1,C1_00138,2.400,1.829,2.364,1.293,80.683,438.289,2.387,0.184087,living
1,C,C1,C1_00139,3.228,1.603,2.567,1.601,77.565,476.827,2.162,0.162670,living
1,C,C1,C1_00140,2.738,1.826,2.523,1.382,63.438,432.574,2.611,0.146653,living
1,C,C1,C1_00141,2.079,1.694,2.118,1.250,70.520,450.431,2.634,0.156562,living
1,C,C1,C1_00142,2.129,2.714,2.712,0.999,46.484,345.794,2.643,0.134427,living
1,C,C1,C1_00143,2.839,1.611,2.413,1.498,20.232,370.452,2.673,0.054615,living
1,C,C1,C1_00144,1.960,2.280,2.385,1.046,27.948,413.552,2.957,0.067581,living
1,C,C1,C1_00145,0.980,2.461,1.752,0.712,28.000,310.362,2.638,0.090217,living
1,C,C1,C1_00146,0.963,1.740,1.461,0.839,22.456,361.193,3.123,0.062172,living
